lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob
4.121108150839095e-37,1.4933628966811644e-23,5.443349864893517e-80,6.532264322734943e-76,1.9843707164058287e-58,6.026540586759766e-42,1.0420552299633708e-79,6.841468829072062e-26,8.973649242732899e-06,1.0754555327961243e-33,6.509547710976245e-26,1.5062377936328132e-07,0.6683631305838214,2.589003960139845e-09,1.8780688564400448e-30,3.829500644690817e-13,0.33162774255376976,1.2231126337353638e-21,1.3844199816228457e-22,9.869937513598225e-23,4.954964602961713e-28
8.488110062588597e-57,2.0335717114481184e-41,8.187566579742054e-106,1.9349564299051495e-86,6.252110771007917e-85,6.481011164789291e-60,7.849577896750993e-63,2.344751451710437e-31,1.5811995278667538e-24,3.9118001488288165e-47,3.77160241575918e-30,7.418018039102556e-21,1.0651516176877045e-06,4.143417949117484e-28,5.476568110908867e-35,8.535748712922519e-19,1.4938383395921024e-15,9.654582399256247e-47,9.758011701024943e-25,3.969291961294824e-14,0.999998934848341
3.6376475091526374e-18,1.2151538446743487e-16,6.369884666479977e-15,5.294628549351163e-05,0.9996714647470202,5.681136463891093e-06,2.3233989995454362e-10,1.5234625976518485e-11,3.087498671398822e-09,4.3777346856402035e-09,1.7866343811312694e-08,5.457919217673813e-09,2.647633364092992e-10,2.295996231951442e-13,0.00010579031274580231,8.97667139311725e-10,1.2404654318195172e-06,8.328134379889287e-17,1.0348974001975544e-08,0.00016283446720023541,3.6933220336937314e-11
2.7004789759100025e-20,2.8347169261123e-24,5.451110080980044e-12,0.8419450871519868,7.114290310868753e-05,0.09903005720392105,1.880815458748804e-11,8.504856258322915e-12,5.375101874892634e-10,8.916828305638858e-10,1.0001249004009746e-08,6.246471977765077e-08,1.0235039940472609e-08,1.0523345449604711e-11,0.02979210193571258,8.856118221005382e-07,0.005558993445991895,1.6667069715786392e-15,2.764010058635147e-12,0.023601600848533792,4.672266788532313e-08
1.4058575420083166e-17,1.3314132421180626e-15,1.1119942743051905e-11,0.003918183355154705,0.9938485518596529,0.00019243293028962065,1.7253360530258025e-08,4.146868957017822e-09,7.51973040763168e-07,2.904431950868911e-07,1.1269141166851577e-06,5.400255339469073e-08,3.501443857131142e-09,3.4845673214020076e-11,0.00018888112538099891,3.589472324774204e-09,3.7380398355962958e-06,2.880376298109644e-13,1.0219506670817802e-06,0.001844938762352526,1.0636013767969365e-10
1.1015371664225402e-22,1.4290158630573288e-28,7.635183685565013e-15,0.6907277110626668,0.30157018294215426,2.464256186676659e-06,6.983902508091644e-16,2.2105978286338944e-16,7.429271160231898e-13,5.4523845861816675e-15,4.1857179790793085e-14,1.0259245299450653e-11,6.915836280377e-12,3.364385953550126e-10,0.007699299604845954,1.4857124307549368e-08,2.978366661246057e-07,1.114552958896095e-21,6.2796511354668234e-15,2.9084663107317202e-08,1.273846542352282e-12
2.968618216662348e-17,4.743116028546175e-16,1.0075973830885652e-10,0.00018003664368603046,0.0747299610916721,0.060051263788777745,1.9754778196454824e-05,4.456922557534818e-06,0.0001242380441145086,0.0005946901801215447,0.01265499705332443,0.0004507373050020218,6.752574802097161e-06,6.1937418297263395e-09,4.2479443867193845e-06,0.0001246684398800362,0.08468259279745809,3.7809468498032837e-10,4.645469117164823e-09,0.7663587345119643,1.2856605990569777e-05
3.434891762777473e-20,1.1657760271453632e-16,4.826641691262549e-15,4.084457625706829e-12,4.008474066198927e-09,0.00038007796772407913,0.22617553610492505,0.01562831606567932,5.425955111464801e-06,0.01357582540998537,0.7411431936396351,5.7613501769567735e-11,3.241215759469959e-07,1.8748922947403567e-11,1.809050506386086e-10,2.6596383044737025e-13,6.193620234376694e-06,0.0030850926167223817,2.860065150765912e-14,2.906389193028404e-18,1.0228281424004119e-08
8.501261505141374e-19,1.861571377579591e-14,7.487631678991947e-14,3.7633507699366646e-13,1.3303355387291158e-11,6.822102009018776e-05,0.0019589416418285504,0.00017058120948833025,2.6495167399084435e-07,0.002515864085927541,0.9938056866385884,2.5275269510271068e-12,7.248982243826243e-08,1.0340443221550225e-11,1.0341287264219367e-11,9.613158236282232e-14,8.08061898867284e-06,0.0014722156580223619,6.191553252172833e-14,1.174090908294279e-16,7.164842890019703e-08
1.527214670347414e-11,1.0426873114300358e-13,1.7594276652636223e-21,2.0218730154067767e-16,7.974036791357801e-19,5.982560611159295e-19,2.358294138055767e-16,9.113412837996264e-17,1.9761887178599317e-15,1.1275863193671258e-17,0.9999999964621662,6.26963140588407e-14,4.416315250912916e-13,1.685243500401386e-12,3.913936204825018e-17,3.964512739244442e-12,3.753415924216396e-13,3.5159213410691423e-09,3.1424096449553534e-15,1.4803654242557215e-16,5.734733959429926e-16
