lm_0_prob,lm_1_prob,lm_2_prob,lm_3_prob,lm_4_prob,lm_5_prob,lm_6_prob,lm_7_prob,lm_8_prob,lm_9_prob,lm_10_prob,lm_11_prob,lm_12_prob,lm_13_prob,lm_14_prob,lm_15_prob,lm_16_prob,lm_17_prob,lm_18_prob,lm_19_prob,lm_20_prob
5.233168125281192e-13,1.3891996388930562e-06,1.9475697837964544e-05,1.5947473018220465e-13,4.664994326878452e-14,0.7103541499364873,6.094040647304288e-12,1.960569122184221e-17,1.626987539567101e-17,0.004617351960272335,1.1823517827962088e-13,1.8506542332983622e-19,8.557736896639285e-18,0.027144962063499454,4.0887312172483035e-15,1.0130370221921727e-28,3.6086276787936624e-24,0.25786267029490756,7.980473633934056e-10,2.677034397358103e-12,3.968623674610819e-11
1.6024811237137207e-07,2.437472570874728e-10,1.8402176753963872e-10,2.631006019689638e-10,1.832222306263407e-18,0.9701816683819363,8.622181064251085e-33,4.523775327974859e-32,1.5284462760021802e-29,0.0009138911838018872,2.5106123608668114e-13,1.163704362863051e-22,1.403455858079008e-23,6.774875697270901e-08,0.028761093039332733,6.759004997983262e-17,8.000897966816319e-21,1.4729691194640793e-09,0.00014311723325385726,7.161665364363539e-13,7.226470352946487e-19
1.4030953045138052e-11,0.0020581146450157437,2.6228938180104327e-07,4.106402962008569e-12,1.0422054078266031e-10,3.099159623074162e-05,4.201985338754397e-16,5.188291395318932e-16,2.6619180992955173e-15,0.9972115738628572,1.5940163147187526e-19,5.038348013279785e-16,7.853735856857982e-15,0.0006990504370854485,9.265521888219895e-11,1.3544646251084102e-11,8.508508632536004e-12,6.929979036204814e-09,3.5487712194714204e-21,2.713545374558705e-14,2.3446990557188535e-12
4.2282584131366345e-06,7.30047690725696e-11,1.476954106479498e-10,3.686631191473884e-08,5.1247741037166256e-18,0.007163468497873554,1.2267442567266682e-16,5.375676510376118e-19,1.579930069251217e-20,0.00039321838651030627,2.916516999580208e-10,2.885094968994347e-10,5.592047530197958e-09,0.007963146278442417,4.432237895341723e-14,4.280542410349739e-11,2.4070327178249602e-08,0.9844758478761735,1.9006528298550385e-08,6.651445958338586e-10,3.658516452687554e-09
0.343838527087832,1.826001947249495e-05,2.1989463237950487e-05,0.00021724362002500404,0.00015718337891871154,0.65271267200827,8.811448493439651e-07,8.899158178051412e-07,1.3508479295619928e-05,0.0013839990397046008,2.4463191710714562e-08,1.5954888392147793e-07,1.024461731359e-05,0.0004999225903420658,2.733785692785647e-12,9.122829300622126e-08,3.6533280166613487e-06,0.0011202061568035084,2.7812728228660354e-08,5.156040952916087e-07,4.901744189396528e-10
0.9999143730932217,1.3861063512575465e-06,7.1966454371088105e-09,3.6540629226859904e-11,1.0636298890974472e-16,8.411747330554644e-05,2.355226376722473e-19,4.2764549448657564e-23,3.5787754025663975e-25,5.618443824114192e-09,4.3396001665027526e-21,1.640837690288107e-26,7.194009264335887e-29,8.07591410444086e-09,1.1771458490900548e-19,4.906375145132859e-27,7.854424110352098e-30,1.0239957778809038e-07,8.261365585977306e-17,1.841576716061289e-21,4.0099388973617414e-24
8.893608167579032e-09,2.8747414621638875e-08,3.2933088026042295e-12,6.933819731307184e-15,1.6108226503407755e-08,1.2086660357937258e-11,2.417389991788436e-20,1.3079344227852577e-25,1.3528671591190322e-25,0.20522977702268694,2.22511596299629e-22,3.6702426057513194e-24,7.450204098106567e-23,0.6971689697270388,2.772775403074266e-21,1.1414186315109605e-21,5.2686777332842265e-21,0.09760112520859773,7.271906468064917e-08,1.0507904228231445e-09,5.071851331492568e-10
0.9998293781554976,8.649590942413653e-10,5.57267513739657e-09,7.255331410997069e-16,4.9235489292615115e-22,1.638791818019798e-06,1.2686862210544155e-11,1.1961030110619724e-11,2.8198774673732567e-11,1.0064365391877568e-07,1.045136507177822e-21,1.4243913737811784e-12,1.1753229904287678e-11,6.107592185381424e-05,7.436709154143724e-08,4.069816478455725e-14,1.365043860187236e-13,9.880752060866965e-05,8.913515309120484e-06,4.363091849445447e-09,2.1723922001163596e-10
1.0615811119357733e-17,6.2825260692974065e-37,1.2659367190104286e-67,2.9613846406045846e-65,6.657751480630963e-50,8.378403020004453e-71,7.082444699521443e-23,3.120793987733795e-22,2.808801663013306e-25,8.617660132370087e-28,1.3066866820509594e-14,2.1063032066773035e-25,6.281343074367102e-36,0.9648787389958019,3.2759784106831025e-12,3.861587020349195e-28,2.2810732554769286e-38,0.03512120496453089,5.603634768882812e-08,3.0510519197629046e-14,2.1388273256489636e-25
0.0027173156168676113,0.49354526323302733,0.10641388271134104,0.029231387149754602,0.00039142516757227657,0.14885378182179396,0.00022202263519681536,5.585932396117553e-06,7.465435971537949e-07,0.21840842451284634,3.4097498425310404e-06,1.6737036379801183e-07,4.46802425350703e-07,0.00020610272442883024,1.3763723907815925e-20,6.067342362665926e-17,4.373762429429983e-12,2.6494737685332835e-08,4.0017396570321797e-20,1.761357984880879e-12,1.1527673634395794e-08
0.9735514063930178,9.392623419126573e-07,1.1705240885334503e-08,9.301393507363575e-13,4.467255288082356e-21,0.02642790210811929,3.6978113718055795e-18,4.9847158382474516e-21,6.671003600811931e-22,1.960031359296672e-05,4.126499948306277e-17,1.77319797373405e-19,4.0237074552489167e-20,1.3738587525755168e-07,1.4451201312636557e-09,1.2405954110363393e-25,1.4275776989124882e-24,1.382954730316445e-09,6.491366433759543e-14,3.748570360895498e-14,2.704462099365982e-12
0.00012508966599776182,0.00015911053369663055,1.2843374695182796e-06,2.0185617964402908e-07,3.087106676174561e-10,0.012742804302362703,3.4947112717954392e-09,1.997222727050452e-09,3.0972486998358186e-08,0.09941811045309158,2.4120324815109335e-08,1.4124818092067628e-07,6.239278984380424e-07,0.21191435766351552,1.8777265292438967e-08,1.0153502744985234e-06,2.2017548081263862e-05,0.6755621682875295,4.307725866621167e-05,6.099320507245474e-06,3.81857582671269e-06
0.9586597301694182,3.8031850441827506e-06,7.91799090995901e-08,5.67079071344739e-12,6.915165473975068e-18,0.04131720931450914,2.327539700733356e-21,1.8104957831772426e-23,1.7337460835340704e-22,1.911368359178434e-05,9.931183439831304e-20,1.46821359802083e-20,1.6640188525635747e-19,6.13671543640311e-08,2.6708710252482586e-09,5.661952238846235e-26,3.784565333459225e-23,4.2296700954682053e-10,2.1791293416632134e-14,4.4473262338590844e-14,7.982928055658999e-13
3.218939733069449e-08,4.2010668728574224e-05,0.010802044880322716,0.0036346710742985247,2.6792640909875017e-05,0.9454901158867063,5.58818500928586e-11,5.742860054909739e-17,4.1397486648225286e-14,0.00981268987299195,5.4506809680332325e-14,5.468491039989162e-12,6.488873602325273e-09,0.007148053727351492,4.035133486035149e-08,2.760277608910591e-10,8.499499634562283e-08,0.01946518974667546,0.003534848352455836,3.312569735989876e-06,4.010621774680008e-05
0.7572246522679049,0.0013014438392908278,2.085316137231216e-05,9.196636965686719e-08,2.5289136299765634e-08,0.009086216891502408,0.00029868548384342483,3.41686388962601e-08,1.1273983932255124e-08,0.06597047829663262,0.027034021967128317,9.1859749271955e-07,1.8660253539273933e-08,0.07529277733966928,0.000912201672086338,2.3715918383810423e-07,4.772252400593759e-08,0.06285052793211189,8.33095249279021e-09,1.1888353668552914e-10,6.747861038597093e-06
4.867883231855257e-09,3.8473935645705134e-07,0.00018132414860650784,4.091635515851036e-05,1.6842811660589027e-07,2.54789665029315e-07,1.9116034344060285e-14,2.2267448247999773e-19,1.22316963287068e-20,0.686827846540093,3.2278029031919574e-31,3.8576243177063954e-26,5.806376458183168e-25,0.26995397444029995,8.509485160442605e-16,4.0509982170858094e-21,5.688275261516107e-20,0.04299512569068131,1.8669212010982792e-16,9.343721223889734e-17,1.191382643117299e-13
3.46393910375779e-35,9.610320443926172e-21,1.6578281647712687e-21,2.706104721321675e-24,2.0497118675725358e-27,6.371078131960809e-16,0.9630002447131629,0.018542145233672664,0.008413235523016233,1.669022339624858e-25,5.680853706246783e-14,0.000949757372630846,0.007541474244225389,1.3582726378333061e-30,3.344632038058744e-30,8.060837544552522e-08,0.001553062304858936,1.6582141763785522e-40,8.5931624676373e-39,6.185759406710988e-26,1.0205722576946118e-23
0.9754996048869363,0.00038527260796439924,1.736808706225193e-05,1.907163611886398e-08,2.37309143143362e-13,0.016426145442369804,6.0235058425159394e-06,2.1166599998896644e-06,0.002251931124827764,0.0012603307955120495,0.00042168147694787494,0.0003679698689806983,0.0003434254874644419,0.00023628599672366105,4.682147882352911e-09,5.365702493464844e-05,0.0020538938319617146,0.000674262721508328,1.3053458295015626e-09,4.0298037866369034e-11,5.381298465564925e-09
3.599411850249738e-12,0.06544558674760224,0.0036876957654199435,6.997067760188879e-06,2.6440683839078294e-10,0.0750769061743929,7.465179097781432e-12,6.448602149315174e-12,4.853116625107772e-09,0.8556571700892471,1.2833287394731285e-11,1.15417878274432e-09,4.525729284074004e-08,0.0001198409816835955,5.983893348997022e-11,1.8283384889681486e-07,5.563479930734441e-06,4.6975275820246416e-09,4.161669602784134e-13,7.635045362096977e-11,4.666396161782427e-10
0.9219858676783514,0.0018265996057272831,0.0017861751886083914,0.0004329001097946338,1.1300817840803663e-06,0.07369595889876969,4.939807426755527e-24,1.0810565006193227e-19,2.4908243064859624e-15,2.0508200462157186e-07,3.3703495382858016e-31,9.189546667089674e-25,1.1867153408432735e-19,3.530668241140589e-09,3.698881434231564e-12,1.1066775501454226e-29,4.671158371320354e-24,2.426810636576234e-08,1.0145833002823317e-12,1.5960318810010645e-09,0.0002711339554375612
